,hs,as,hst,ast,hf,af,hc,ac,hy,ay,b365h,b365d,b365a,hometeam_Arsenal,hometeam_Aston Villa,hometeam_Birmingham,hometeam_Blackburn,hometeam_Blackpool,hometeam_Bolton,hometeam_Bournemouth,hometeam_Brighton,hometeam_Burnley,hometeam_Cardiff,hometeam_Chelsea,hometeam_Crystal Palace,hometeam_Everton,hometeam_Fulham,hometeam_Huddersfield,hometeam_Hull,hometeam_Leeds,hometeam_Leicester,hometeam_Liverpool,hometeam_Man City,hometeam_Man United,hometeam_Middlesbrough,hometeam_Newcastle,hometeam_Norwich,hometeam_QPR,hometeam_Reading,hometeam_Sheffield United,hometeam_Southampton,hometeam_Stoke,hometeam_Sunderland,hometeam_Swansea,hometeam_Tottenham,hometeam_Watford,hometeam_West Brom,hometeam_West Ham,hometeam_Wigan,hometeam_Wolves,awayteam_Arsenal,awayteam_Aston Villa,awayteam_Birmingham,awayteam_Blackburn,awayteam_Blackpool,awayteam_Bolton,awayteam_Bournemouth,awayteam_Brighton,awayteam_Burnley,awayteam_Cardiff,awayteam_Chelsea,awayteam_Crystal Palace,awayteam_Everton,awayteam_Fulham,awayteam_Huddersfield,awayteam_Hull,awayteam_Leeds,awayteam_Leicester,awayteam_Liverpool,awayteam_Man City,awayteam_Man United,awayteam_Middlesbrough,awayteam_Newcastle,awayteam_Norwich,awayteam_QPR,awayteam_Reading,awayteam_Sheffield United,awayteam_Southampton,awayteam_Stoke,awayteam_Sunderland,awayteam_Swansea,awayteam_Tottenham,awayteam_Watford,awayteam_West Brom,awayteam_West Ham,awayteam_Wigan,awayteam_Wolves
2028,9.0,14.0,1.0,4.0,11.0,14.0,2.0,5.0,2.0,2.0,2.45,3.5,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2029,17.0,22.0,3.0,6.0,3.0,10.0,5.0,7.0,0.0,1.0,2.8,3.4,2.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2030,10.0,9.0,3.0,3.0,8.0,11.0,4.0,2.0,1.0,1.0,1.22,6.5,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2031,20.0,3.0,7.0,0.0,5.0,7.0,6.0,1.0,0.0,1.0,1.12,9.5,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2032,20.0,2.0,7.0,1.0,2.0,6.0,12.0,2.0,0.0,2.0,1.16,9.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2033,24.0,7.0,8.0,4.0,5.0,7.0,10.0,4.0,2.0,2.0,1.08,11.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2034,22.0,9.0,5.0,2.0,5.0,10.0,5.0,4.0,1.0,3.0,1.25,6.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2035,27.0,6.0,8.0,3.0,10.0,7.0,16.0,3.0,1.0,2.0,1.29,6.5,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2036,18.0,9.0,3.0,3.0,10.0,6.0,6.0,3.0,2.0,2.0,1.25,6.5,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2037,28.0,3.0,7.0,0.0,7.0,9.0,12.0,1.0,2.0,2.0,1.17,9.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2038,16.0,9.0,10.0,6.0,9.0,7.0,9.0,4.0,1.0,3.0,1.29,6.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2039,19.0,7.0,12.0,4.0,13.0,8.0,8.0,5.0,3.0,1.0,1.4,4.5,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2040,13.0,17.0,5.0,6.0,7.0,8.0,6.0,6.0,3.0,1.0,2.5,3.5,2.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2041,10.0,9.0,4.0,1.0,6.0,10.0,2.0,3.0,0.0,1.0,2.37,3.7,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2042,26.0,10.0,10.0,5.0,12.0,14.0,7.0,4.0,3.0,4.0,2.79,3.29,2.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
